FOOD COMMODITY GROUP;Food commodity ITEM;Food commodity TYPOLOGY;Food commodity sub-TYPOLOGY;final_co2;final_wfp
FISHING;COD (F);FISH FROZEN;-;3,03;2313,5
FISHING;FISH STICK (F);FISH FROZEN;-;2,2;2313,5
FISHING;HADDOCK (F);FISH FROZEN;-;2,2;2313,5
FISHING;HERRING (F);FISH FROZEN;-;1,3;2313,5
FISHING;MACKEREL (F);FISH FROZEN;-;2,2;2313,5
FISHING;MIXED FISH (F);FISH FROZEN;-;2,2;2313,5
FISHING;POLLOCK (F);FISH FROZEN;-;2,2;2313,5
FISHING;POLLOCK STICK (F);FISH FROZEN;-;2,2;2313,5
FISHING;SALMON (F);FISH FROZEN;-;1,61;2313,5
FISHING;SOLE (F);FISH FROZEN;-;2,2;2313,5
FISHING;TROUT (F);FISH FROZEN;-;2,2;2313,5
FISHING;TUNA (F);FISH FROZEN;-;2,64;2313,5
AGRICULTURAL PROCESSED;RASPBERRIES (F)*;FRUIT FROZEN* (raspberry);-;1,18;748
CROPS;EXOTIC FRUIT (G);FRUIT HEATED GREENHOUSE;-;2,88;748
CROPS;RASPBERRY (G);FRUIT HEATED GREENHOUSE;-;2,88;413
CROPS;STRAWBERRY (G);FRUIT HEATED GREENHOUSE;-;2,88;413
CROPS;AVOCADO (I);FRUIT IMPORTED;-;1,09;1805
CROPS;BANANA (I);FRUIT IMPORTED;-;0,82;748
CROPS;COCONUT (I);FRUIT IMPORTED;-;1,07;1971
CROPS;EXOTIC FRUIT (I);FRUIT IMPORTED;-;1,07;748
CROPS;PINEAPPLE (I);FRUIT IMPORTED;-;0,55;255
CROPS;POMEGRANATE (I);FRUIT IMPORTED;-;1,07;748
CROPS;STRAWBERRY (I);FRUIT IMPORTED;-;1,07;413
CROPS;MELON (g)*;FRUIT NOT HEATED GREENHOUSE* (melon);-;1,43;748
CROPS;GREEN BEAN (fresh) (g)*;LEGUMES NOT HEATED GREENHOUSE (green bean);-;0,28;555,5
FISHING;OCTOPUS (F);SHELLFISH FROZEN;-;11,47;1856
FISHING;PRAWNS/SHRIMPS (F);SHELLFISH FROZEN;-;15,07;1856
AGRICULTURAL PROCESSED;CARROTS (F);VEGETABLES FROZEN;-;0,81;750,5
AGRICULTURAL PROCESSED;MIXED VEGETABLES (F);VEGETABLES FROZEN;-;0,81;339
AGRICULTURAL PROCESSED;PEAS (F);VEGETABLES FROZEN;-;0,81;850
AGRICULTURAL PROCESSED;POTATOES (F);VEGETABLES FROZEN;-;0,81;575
AGRICULTURAL PROCESSED;SPINACH (F);VEGETABLES FROZEN;-;0,81;834
AGRICULTURAL PROCESSED;SWEET CORN (F);VEGETABLES FROZEN;-;0,81;700
AGRICULTURAL PROCESSED;ZUCCHINI (F);VEGETABLES FROZEN;-;0,81;750,5
CROPS;CUCUMBER (G);VEGETABLES HEATED GREENHOUSE;-;2,55;353
CROPS;GERKIN (G);VEGETABLES HEATED GREENHOUSE;-;2,12;336
CROPS;LETTUCE (G);VEGETABLES HEATED GREENHOUSE;-;2,67;237
CROPS;PEPPER (G);VEGETABLES HEATED GREENHOUSE;-;3,73;379
CROPS;TOMATO (G);VEGETABLES HEATED GREENHOUSE;-;2,43;41
CROPS;CUCUMBER (g);VEGETABLES NOT HEATED GREENHOUSE;-;1,18;353
CROPS;EGGPLANT (g);VEGETABLES NOT HEATED GREENHOUSE;-;1,18;362
CROPS;PEPPER (g);VEGETABLES NOT HEATED GREENHOUSE;-;1,18;379
CROPS;TOMATO (g);VEGETABLES NOT HEATED GREENHOUSE;-;0,91;41
CROPS;ZUCCHINI (g);VEGETABLES NOT HEATED GREENHOUSE;-;1,18;336
