;FOOD COMMODITY GROUP;Food commodity ITEM;Food commodity TYPOLOGY;Food commodity sub-TYPOLOGY;final_co2
0;AGRICULTURAL PROCESSED;BEER IN CAN;BEER;-;0,69
1;AGRICULTURAL PROCESSED;BEER IN GLASS;BEER;-;0,96
2;AGRICULTURAL PROCESSED;BEER MODULAR CAN;BEER;-;0,53
3;AGRICULTURAL PROCESSED;CHOCOLATE OR CREAM FILLED COOKIES**;BISCUITS;-;1,53
4;AGRICULTURAL PROCESSED;SIMPLE COOKIES**;BISCUITS;-;1,39
5;AGRICULTURAL PROCESSED;MINERAL WATER*;BOTTLED WATER* (mineral water);-;0,49
6;AGRICULTURAL PROCESSED;BREAD MULTICEREAL**;BREAD;-;0,86
7;AGRICULTURAL PROCESSED;BREAD PLAIN**;BREAD;-;0,89
8;AGRICULTURAL PROCESSED;BREAD WHOLE**;BREAD;-;0,77
9;AGRICULTURAL PROCESSED;BREAD FROZEN (F)*;BREAD FROZEN* (rolls frozen);-;1,31
10;AGRICULTURAL PROCESSED;CORNFLAKES*;BREAKFAST CEREALS* (cornflakes);-;2,64
11;AGRICULTURAL PROCESSED;DARK CHOCOLATE;CHOCOLATE;-;3,16
12;AGRICULTURAL PROCESSED;MILK CHOCOLATE;CHOCOLATE;-;3,16
13;AGRICULTURAL PROCESSED;COFFEE GROUND;COFFEE GROUND & PARCHMENT;-;6,71
14;AGRICULTURAL PROCESSED;COFFEE PARCHMENT;COFFEE GROUND & PARCHMENT;-;8,29
15;AGRICULTURAL PROCESSED;COFFEE DRIP FILTERED (L);COFFEE LIQUID;-;0,55
16;AGRICULTURAL PROCESSED;COFFEE SOLUBLE POWDER (L);COFFEE LIQUID;-;0,55
17;AGRICULTURAL PROCESSED;ESPRESSO (L);COFFEE LIQUID;-;0,55
18;AGRICULTURAL PROCESSED;FLAVORED CRACKERS**;CRACKERS;-;0,93
19;AGRICULTURAL PROCESSED;PLAIN CRACKERS**;CRACKERS;-;1,35
20;AGRICULTURAL PROCESSED;WHOLEGRAIN CRACKERS**;CRACKERS;-;0,97
21;AGRICULTURAL PROCESSED;CRISPBREAD**;CRISPBREAD**;-;1,35
22;AGRICULTURAL PROCESSED;KETCHUP;DRESSING;-;1,46
23;AGRICULTURAL PROCESSED;MAYONNAISE;DRESSING;-;1,46
24;AGRICULTURAL PROCESSED;TEMPE';DRESSING;-;1,46
25;AGRICULTURAL PROCESSED;EGG PASTA*;EGG PASTA*;-;3,15
26;AGRICULTURAL PROCESSED;RASPBERRIES (F)*;FRUIT FROZEN* (raspberry);-;1,18
27;AGRICULTURAL PROCESSED;APPLE JUICE (I);FRUIT JUICE (imported ingredients);-;2,86
28;AGRICULTURAL PROCESSED;BLUEBERRY JUICE (I);FRUIT JUICE (imported ingredients);-;2,86
