FOOD COMMODITY GROUP;FOOD COMMODITY TYPOLOGY;n;mean;median;dev.stand;min;max;MAD;Q1;Q3;CV;IQR;LOWER FENCE;UPPER FENCE
AGRICULTURAL PROCESSED ;BEER;3;0,73;0,69;0,18;0,53;0,96;0,16;0,61;0,83;0,24;0,21;0,29;1,15
AGRICULTURAL PROCESSED ;BISCUITS**;21;1,58;1,47;0,38;1,11;2,39;0,14;1,35;1,63;0,24;0,28;0,93;2,04
AGRICULTURAL PROCESSED ;BOTTLED WATER* (mineral water);2;0,49;0,49;0,07;0,42;0,56;0,07;0,46;0,53;0,14;0,07;0,35;0,63
AGRICULTURAL PROCESSED ;BREAD FROZEN* (rolls);1;1,31;1,31;-;1,31;1,31;-;1,31;1,31;-;-;1,31;1,31
AGRICULTURAL PROCESSED ;BREAD**;16;0,88;0,86;0,24;0,54;1,54;0,08;0,77;0,92;0,27;0,15;0,54;1,15
AGRICULTURAL PROCESSED ;BREAKFAST CEREALS* (cornflakes);1;2,64;2,64;0,00;2,64;2,64;0,00;2,64;2,64;0,00;0,00;2,64;2,64
AGRICULTURAL PROCESSED ;CHOCOLATE;2;3,16;3,16;0,45;2,71;3,60;0,45;2,93;3,38;0,14;0,45;2,27;4,05
AGRICULTURAL PROCESSED ;COFFEE GROUND & PARCHMENT;2;6,71;6,71;1,58;5,13;8,29;1,58;5,92;7,50;0,24;1,58;3,55;9,87
AGRICULTURAL PROCESSED ;COFFEE LIQUID;3;0,49;0,55;0,12;0,33;0,60;0,05;0,44;0,57;0,24;0,13;0,24;0,77
AGRICULTURAL PROCESSED ;CRACKERS**;29;1,06;0,98;0,28;0,49;1,45;0,27;0,90;1,33;0,27;0,43;0,26;1,97
AGRICULTURAL PROCESSED ;CRISPBREAD**;6;1,36;1,35;0,11;1,19;1,53;0,08;1,30;1,45;0,08;0,15;1,08;1,67
AGRICULTURAL PROCESSED ;DRESSING;3;1,53;1,46;0,39;1,10;2,04;0,36;1,28;1,75;0,25;0,47;0,58;2,46
