ingredient_id,name,category_id,carbon_foot_print,carbon_foot_print_source,carbon_foot_print_weight,water_foot_print,water_foot_print_source,water_foot_print_weight,kcal,kcal_weight,protein,protein_weight,fat,fat_weight,carbohydrates,carbohydrates_weight,fiber,fiber_weight,created_at,updated_at
1,"cheese, brie",28,0.810181,corgis_category_mean,100,5060,corgis_category_mean,1000,334,100,20.75,100,27.68,100,0.45,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
2,"sauce, barbecue",109,,,100,,,1000,172,100,0.82,100,0.63,100,40.77,100,0.9,100,2022-10-24 17:13:17,2022-10-24 17:14:46
3,"candies, dark chocolate coated coffee beans",,,,100,,,1000,540,100,7.5,100,30,100,59.95,100,7.5,100,2022-10-24 17:13:17,2022-10-24 17:13:17
4,"oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)",81,,,100,,,1000,884,100,0,100,100,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
5,"tomatoes, red, ripe, raw, year round average",126,0.28746879999999997,corgis_category_mean,100,214,corgis_category_mean,1000,18,100,0.88,100,0.2,100,3.89,100,1.2,100,2022-10-24 17:13:17,2022-10-24 17:14:46
6,"cheese, goat, soft type",,,,100,,,1000,264,100,18.52,100,21.08,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
7,"fish, tilapia, raw",49,0.42398399999999997,corgis_category_mean,100,,,1000,96,100,20.08,100,1.7,100,0,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
8,"candies, toffee, prepared-from-recipe",,,,100,,,1000,560,100,1.07,100,32.75,100,64.72,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
9,"wheat flours, bread, unenriched",,,,100,,,1000,361,100,11.98,100,1.66,100,72.53,100,2.4,100,2022-10-24 17:13:17,2022-10-24 17:13:17
10,"apple juice, canned or bottled, unsweetened, without added ascorbic acid",8,0.09000000000000001,myemissions.green,100,822,healabel,1000,52,100,0.26,100,0.17,100,13.81,100,2.4,100,2022-10-24 17:13:17,2022-10-24 17:14:46
11,"cheese, roquefort",,,,100,,,1000,369,100,21.54,100,30.64,100,2,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
12,"cookies, graham crackers, plain or honey, lowfat",34,0.3227421111111111,corgis_category_mean,100,8703,corgis_category_mean,1000,386,100,5.71,100,5.71,100,77.96,100,5.7,100,2022-10-24 17:13:17,2022-10-24 17:14:46
13,"cheese, cheddar",28,0.810181,corgis_category_mean,100,5060,corgis_category_mean,1000,406,100,24.04,100,33.82,100,1.33,100,0,100,2022-10-24 17:13:17,2022-10-24 17:14:46
14,"spices, pumpkin pie spice",116,,,100,,,1000,342,100,5.76,100,12.6,100,69.28,100,14.8,100,2022-10-24 17:13:17,2022-10-24 17:14:46
15,"amazonas rainforest product, tapioca starch, upc: 742987126365",,0.0594,myemissions.green,100,,,1000,320,100,0,100,0,100,83.2,100,0,100,2022-10-24 17:13:17,2022-10-24 17:13:17
16,"onions, spring or scallions (includes tops and bulb), raw",84,,,100,,,1000,32,100,1.83,100,0.19,100,7.34,100,2.6,100,2022-10-24 17:13:17,2022-10-24 17:14:46
