;FOOD COMMODITY GROUP;Food commodity ITEM;Food commodity TYPOLOGY;Food commodity sub-TYPOLOGY;final_wfp
0;AGRICULTURAL PROCESSED;APPLE JUICE;JUICE;-;1140
1;AGRICULTURAL PROCESSED;BARLEY FLAKES;BREAKFAST CEREALS;-;1977
2;AGRICULTURAL PROCESSED;BEANS (F);VEGETABLES FROZEN;-;801
3;AGRICULTURAL PROCESSED;BEER*;BEER*;-;155
4;AGRICULTURAL PROCESSED;BEET SUGAR;SUGAR;-;865
5;AGRICULTURAL PROCESSED;BREAD;BREAD;-;667
6;AGRICULTURAL PROCESSED;BREAD MULTICEREAL**;BREAD;-;902
7;AGRICULTURAL PROCESSED;BREAD PLAIN**;BREAD;-;1031
8;AGRICULTURAL PROCESSED;BREAD WHOLE**;BREAD;-;887
9;AGRICULTURAL PROCESSED;CAKES AND CROISSANT**;SWEETS;-;1640
10;AGRICULTURAL PROCESSED;CANE MOLASSE;SUGAR;-;527
11;AGRICULTURAL PROCESSED;CANE SUGAR;SUGAR;-;1724
12;AGRICULTURAL PROCESSED;CASSAVA FLOUR;STARCHY ROOT FLOUR;-;1878
13;AGRICULTURAL PROCESSED;CHOCOLATE;COCOA DERIVATES;-;17196
14;AGRICULTURAL PROCESSED;CHOCOLATE OR CREAM FILLED COOKIES**;BISCUITS;-;2902
15;AGRICULTURAL PROCESSED;COCOA BUTTER;COCOA DERIVATES;-;33938
16;AGRICULTURAL PROCESSED;COCOA CAKES AND CROISSANT**;SWEETS;-;3468
17;AGRICULTURAL PROCESSED;COCOA PASTE;COCOA DERIVATES;-;24238
18;AGRICULTURAL PROCESSED;COCOA POWDER;COCOA DERIVATES;-;15618
19;AGRICULTURAL PROCESSED;COCONUT OIL;OIL;-;4490
20;AGRICULTURAL PROCESSED;COFFEE ROASTED;COFFEE GROUND & PARCHMENT* (coffee roasted);-;19956
21;AGRICULTURAL PROCESSED;COFFEE SOLUBLE;COFFEE LIQUID;-;960
22;AGRICULTURAL PROCESSED;COFFEE STANDARD;COFFEE LIQUID;-;960
23;AGRICULTURAL PROCESSED;COFFEE STRONG;COFFEE LIQUID;-;960
24;AGRICULTURAL PROCESSED;COFFEE WEAK;COFFEE LIQUID;-;960
25;AGRICULTURAL PROCESSED;CORN CANNED;VEGETABLES CANNED;-;807
26;AGRICULTURAL PROCESSED;CRISPBREAD**;CRISPBREAD**;-;1423
27;AGRICULTURAL PROCESSED;DRIED CASSAVA;STARCHY TUBER;-;1610
28;AGRICULTURAL PROCESSED;EGG PASTA*;EGG PASTA*;-;4637
29;AGRICULTURAL PROCESSED;FLAVORED CRACKERS**;CRACKERS;-;1378
30;AGRICULTURAL PROCESSED;FRUCTOSE;SUGAR;-;1782
31;AGRICULTURAL PROCESSED;GRAPEFRUIT JUICE;JUICE;-;675
32;AGRICULTURAL PROCESSED;KETCHUP;DRESSING;-;534
33;AGRICULTURAL PROCESSED;LINSEED OIL;OIL;-;9415
